问题描述	问题分类	标准化日期
奇瑞iCAR 03低速行驶底盘异响	质量问题	11/3/2025
奇瑞iCAR V23车顶油漆存在瑕疵 影响美观	质量问题	11/5/2025
奇瑞iCAR 03车辆刹车油管漏油 刹车失灵	质量问题	11/5/2025
奇瑞iCAR 03经销商出售车辆车门存在喷漆	质量问题	3/5/2024
奇瑞iCAR 03T方向盘转向失灵 无法转向	质量问题	11/6/2025
奇瑞iCAR 超级V23赠送6次保养不兑现	销售未兑现承诺	10/27/2025
奇瑞iCAR 03T方向盘转向失灵 无法转向	质量问题	10/30/2025
奇瑞iCAR V23新车转向卡滞 高速打方向困难	质量问题	11/3/2025
奇瑞iCAR 03行驶过程中全车断电	质量问题	10/24/2025
奇瑞iCAR 03售后检测未按标准执行 要求道歉	售后服务问题	10/24/2025
奇瑞iCAR 03T方向盘转向失灵 无法转向	质量问题	10/19/2025
奇瑞iCAR 03T购车承诺赠送充电桩未兑现	销售未兑现承诺	10/16/2025
奇瑞iCAR 03行驶中驱动电机故障 全车断电	质量问题	10/17/2025
奇瑞iCAR 超级V23车辆慢充充不了电	质量问题	10/12/2025
奇瑞iCAR V23主驾车窗升降按钮故障	质量问题	9/29/2025
奇瑞iCAR 超级V23销售私自锁单订金不退	销售未兑现承诺	9/28/2025
奇瑞iCAR V23购车销售隐瞒手续费及优惠	销售未兑现承诺	9/28/2025
奇瑞iCAR 03T车辆全车无声音 要求处理	质量问题	9/24/2025
奇瑞iCAR 03T新车动力电池充电异常	质量问题	9/24/2025
奇瑞iCAR V23后视镜设计缺陷 360影像小	质量问题	9/22/2025
奇瑞iCAR V23终身质保不兑现 无OTA升级	销售未兑现承诺	9/22/2025
奇瑞iCAR 03车顶漏水 后备箱漏水 线路故障	质量问题	9/23/2025
奇瑞iCAR 03充电桩故障离线 无售后处置	售后服务问题	9/20/2025
奇瑞iCAR 03未明确告知充电桩免费安装时效	售后服务问题	9/17/2025
iCAR 03电机故障 要求补偿相关费用	质量问题	11/9/2025
iCAR 超级V23爬坡中跳入倒挡 刹车无效果	质量问题	11/8/2025
iCAR 超级V23 新车掉漆 踩刹车侧滑	质量问题	10/28/2025
iCAR 超级V23销售欺瞒不解决问题 车机卡顿	销售未兑现承诺	11/4/2025
iCAR 超级V23 车辆未交付但APP显示已交付	售后服务问题	10/25/2025
奇瑞iCAR 03全车故障码全亮 刹车刹不住	质量问题	9/10/2025
奇瑞iCAR 03电机异响 车门异响 后视镜 故障	质量问题	9/11/2025
iCAR 超级V23购车缴纳诚意金未退还	销售未兑现承诺	9/22/2025
奇瑞iCAR V23高速NOA智能领航无故退出	质量问题	9/11/2025
奇瑞iCAR V23车漆开裂 玻璃升降开关失灵	质量问题	9/9/2025
奇瑞iCAR V23购车销售隐瞒手续费及优惠	销售未兑现承诺	9/8/2025
奇瑞iCAR 03传动轴异响 电池包故障	质量问题	8/29/2025
iCAR 超级V23车身塑料覆盖件凹陷变形	质量问题	9/22/2025
奇瑞iCAR 03安全带磨损 车内异响	质量问题	8/26/2025
iCAR 超级V23虚假宣传夸大政府补贴款金额	销售未兑现承诺	9/22/2025
奇瑞iCAR V23事故维修进度慢 故障拖延	售后服务问题	8/26/2025
奇瑞iCAR V23行驶时雨刮器和转向灯无法使用	质量问题	8/27/2025
奇瑞iCAR V23起步时车轮异响 查不出问题	质量问题	8/25/2025
奇瑞iCAR 03车机系统崩溃无法连网 天窗漏水	质量问题	8/25/2025
奇瑞iCAR 03售后过度保养 不给升级蓝牙钥匙	售后服务问题	8/22/2025
奇瑞iCAR 03T经销商不退还订金要求处理	销售未兑现承诺	8/19/2025
奇瑞iCAR V23主驾驶内有电流声 要求处理	质量问题	8/7/2025
奇瑞iCAR V23车辆行驶跑偏 处理后未解决	质量问题	8/19/2025
奇瑞iCAR 03T车机有BUG 无法OTA升级	质量问题	8/16/2025
奇瑞iCAR V23车顶油漆存在瑕疵 影响美观	质量问题	8/14/2025
奇瑞iCAR 03车身漏水 要求厂家解决	质量问题	8/12/2025
奇瑞iCAR V23新车大灯故障 要求退车	质量问题	8/12/2025
奇瑞iCAR V23安装爬梯磨损车漆 要求处理	质量问题	8/8/2025
奇瑞iCAR V23车顶油漆存在瑕疵 影响美观	质量问题	8/5/2025
奇瑞iCAR 03刹车异响 后部异响 密封条破损	质量问题	8/5/2025
奇瑞iCAR V23电量虚标续航里程不足	质量问题	6/13/2025
奇瑞iCAR V23黑色塑料饰板腐蚀 态度恶劣	质量问题	8/2/2025
奇瑞iCAR 03车机经常死机黑屏 影响使用体验	质量问题	7/30/2025
奇瑞iCAR 03电机控制器故障 无法行驶	质量问题	7/29/2025
奇瑞iCAR V23车机APP问题一直未解决	质量问题	7/29/2025
奇瑞iCAR V23车辆P挡状态自动倒退	质量问题	7/28/2025
奇瑞iCAR 03车身异响 要求厂家解决	质量问题	4/29/2025
奇瑞iCAR 03车门无法打开 影响正常用车	质量问题	7/26/2025
奇瑞iCAR V23新车车身凹陷 要求处理	质量问题	7/22/2025
奇瑞iCAR 03销售承诺不兑现 要求处理	销售未兑现承诺	7/15/2025
奇瑞iCAR 03购车发票错误导致补贴无法兑现	销售未兑现承诺	7/14/2025
奇瑞iCAR V23车机更新失败 影响使用	质量问题	7/12/2025
奇瑞iCAR 03中控锁故障 自动停止充电	质量问题	7/12/2025
奇瑞iCAR 03车辆无法启动 无法挂挡	质量问题	7/10/2025
奇瑞iCAR 03空调不制冷 下摆臂生锈	质量问题	7/8/2025
奇瑞iCAR V23不予提供合格证 无法上牌	售后服务问题	7/2/2025
奇瑞iCAR V23行驶跑偏 方向盘向右倾斜	质量问题	7/1/2025
奇瑞iCAR V23塑料机盖变形掉漆 喇叭不响	质量问题	6/27/2025
iCAR奇瑞iCARV23购车支付定金经销商未退还	销售未兑现承诺	7/8/2025
奇瑞iCAR V23经销商不退还订金 要求处理	销售未兑现承诺	5/24/2025
奇瑞iCAR V23 2年返息不给 威胁扣款	销售未兑现承诺	6/24/2025
奇瑞iCAR 03车辆不推送OTA升级 要求推送	质量问题	6/23/2025
奇瑞iCAR V23邀请买车赠送改装基金不兑现	销售未兑现承诺	6/19/2025
奇瑞iCAR V23经销商疑似出售喷过漆的问题车	销售未兑现承诺	6/20/2025
奇瑞iCAR V23充电功率不显示 要求处理	质量问题	6/14/2025
iCAR奇瑞iCAR V23购车后短期内降价	销售未兑现承诺	6/11/2025
奇瑞iCAR 03高压断电 制动失灵 影响使用	质量问题	6/10/2025
奇瑞iCAR 03行驶中失去动力 要求退车	质量问题	4/19/2024
奇瑞iCAR 03转向机胶套脱落 不予质保	质量问题	6/3/2025
iCAR奇瑞iCAR V23新车转向力度不均匀	质量问题	6/1/2025
奇瑞iCAR V23车贷未通过 要求退还订金	销售未兑现承诺	5/13/2025
奇瑞iCAR V23充电时故障灯报警 挂挡不走	质量问题	5/21/2025
奇瑞iCAR 03T怀挡设计存在缺陷 要求处理	质量问题	5/19/2025
奇瑞iCAR 03车机蓝牙不自动连接	质量问题	5/19/2025
奇瑞iCAR V23经销商不予退还定金 要求处理	销售未兑现承诺	5/18/2025
奇瑞iCar03多次出现全车瘫痪 无法启动	质量问题	3/15/2024
奇瑞iCAR 03售后私自在外维修 出现新问题	售后服务问题	5/8/2025
奇瑞iCAR 03T 4S店维修车辆损伤车身漆面	售后服务问题	5/8/2025
奇瑞iCAR V23经销商不予退还定金 要求处理	销售未兑现承诺	4/30/2025
奇瑞iCAR 03经销商出售库存车未提前告知车主	销售未兑现承诺	4/29/2025
奇瑞iCAR 03后尾门故障 要求处理	质量问题	4/27/2025
奇瑞iCAR 03系统升级后动能回收力度增强	质量问题	4/25/2025
奇瑞iCAR V23经销商不予退还定金 要求处理	销售未兑现承诺	4/25/2025
奇瑞iCAR 03未经同意自动升级车辆系统	质量问题	4/22/2025
奇瑞iCAR V23合格证未发放 导致无法上牌	售后服务问题	3/6/2025
奇瑞iCAR 03车机操作卡顿 续航里程不足	质量问题	4/23/2025
奇瑞iCAR 03刹车异响 雨量传感器不灵敏	质量问题	4/23/2025
奇瑞iCAR 03车机卡顿 挡风玻璃处漏水	质量问题	7/17/2024
奇瑞iCAR 03刹车异常抖动 车机不升级	质量问题	4/22/2025
奇瑞iCAR 03水泵有异响 车顶胶条开裂	质量问题	4/20/2025
奇瑞iCAR 03行驶中车辆底盘明显有异响	质量问题	4/17/2025
奇瑞iCAR 03底盘异响 行驶中车轮异响	质量问题	4/16/2025
奇瑞iCAR 03T输入功率受限 动力消失	质量问题	4/16/2025
iCAR奇瑞iCAR V23销售不退订金 要求处理	销售未兑现承诺	4/15/2025
奇瑞iCAR 03车辆车机系统卡顿 OTA未升级	质量问题	4/9/2025
奇瑞iCAR V23厂家承诺积分问题未兑现	销售未兑现承诺	3/31/2025
奇瑞iCAR 03T高压切断绝缘故障 要求解决	质量问题	3/28/2025
奇瑞iCAR V23 4S店侵占车主权益款	售后服务问题	3/26/2025
奇瑞iCAR 03T行驶时挡风玻璃处有风噪声	质量问题	3/26/2025
奇瑞iCAR 03天窗胶条开裂 车辆后备厢异响	质量问题	3/19/2025
奇瑞iCAR 03T经销商出售问题 车有抛光	销售未兑现承诺	9/27/2024
奇瑞iCAR 03续航里程严重续航 影响驾驶	质量问题	3/12/2025
奇瑞iCAR 03新车全车线路故障 要求退车	质量问题	7/27/2024
奇瑞iCAR 03购车不久后厂家变相降价	销售未兑现承诺	1/23/2025
奇瑞iCAR03置换补贴未兑现 要求处理	销售未兑现承诺	3/9/2025
奇瑞iCAR 03空调温度无法调节 天窗漏水	质量问题	3/3/2025
iCAR奇瑞iCAR V23新车发现有维修痕迹	销售未兑现承诺	2/25/2025
奇瑞iCAR V23打方向盘沉重不灵活 行驶跑偏	质量问题	2/25/2025
奇瑞iCAR 03六合一制动器故障导致断电	质量问题	2/24/2025
奇瑞iCAR 03空调温度无法调节 天窗漏水	质量问题	2/17/2025
奇瑞iCAR 03车机无网络 车身结构件异响	质量问题	2/15/2025
奇瑞iCAR 03购车不久后厂家变相降价	销售未兑现承诺	2/13/2025
iCAR奇瑞iCAR 03T经销商出售问题车 有抛光	销售未兑现承诺	9/27/2024
奇瑞iCAR V23电瓶亏电 无法启动	质量问题	2/10/2025
奇瑞iCAR 03后驱动齿轮箱开裂 电机损坏	质量问题	2/2/2025
奇瑞iCAR03置换补贴政策变动 续航虚标	销售未兑现承诺	2/6/2025
iCAR奇瑞iCAR V23承诺退还多余车款未兑现	销售未兑现承诺	12/4/2024
奇瑞iCAR 03新车元宝梁开焊 行驶时异响	质量问题	1/23/2025
iCAR奇瑞iCAR V23 四个车门螺丝有掉漆	质量问题	1/21/2025
iCAR奇瑞iCAR V23订车后提不到车	售后服务问题	1/20/2025
奇瑞iCAR 03销售隐瞒厂家置换补贴政策	销售未兑现承诺	1/16/2025
iCAR奇瑞iCAR V23 NFC卡片钥匙无法解锁	质量问题	1/12/2025
奇瑞iCAR 03开灯车内有电流声 背景灯频闪	质量问题	1/11/2025
奇瑞iCAR 03低速行驶底盘异响 全景影像故障	质量问题	1/9/2025
iCAR奇瑞iCAR 03T续航里程与宣传不符	销售未兑现承诺	1/7/2025
奇瑞iCAR 03底盘偶尔异响 转向和雨刮异响	质量问题	1/3/2025
奇瑞iCAR 03经销商不退定金要求处理	销售未兑现承诺	1/3/2025
奇瑞iCAR 03T销售欺诈消费者 要求退还费用	销售未兑现承诺	1/1/2025
奇瑞iCAR 03T安全带故障 续航里程衰减	质量问题	12/27/2024
奇瑞iCAR 03行驶中车身多处异响 要求处理	质量问题	12/17/2024
奇瑞iCAR 03销售隐瞒厂家置换补贴政策	销售未兑现承诺	12/13/2024
奇瑞iCAR 03原车朝阳轮胎鼓包 影响安全	质量问题	12/10/2024
奇瑞iCAR 03车门铰链生锈 要求厂家处理	质量问题	12/10/2024
奇瑞iCAR 03经销商不退订金 要求处理	销售未兑现承诺	10/4/2024
iCAR奇瑞iCAR 03续航里程不足与宣传不符	销售未兑现承诺	12/8/2024
奇瑞iCAR 03购车销售未告知代金券使用条件	销售未兑现承诺	12/4/2024
奇瑞iCAR 03原车朝阳轮胎鼓包 影响安全	质量问题	12/2/2024
iCAR 奇瑞iCAR 03车灯不亮 希望厂家处理	质量问题	12/2/2024
奇瑞iCAR 03车机GPS非人为损坏 无定位	质量问题	9/24/2024
奇瑞iCAR 03购车置换补贴一直未兑现	销售未兑现承诺	11/25/2024
奇瑞iCAR 03方向盘异响 天窗胶条开裂	质量问题	11/19/2024
奇瑞iCAR 03车灯亮度不足 续航里程不准	质量问题	11/14/2024
奇瑞iCAR 03新车天窗漏水 中控台异响	质量问题	11/14/2024
奇瑞iCAR 03刹车卡顿 车身异响 车机异常	质量问题	11/12/2024
奇瑞iCAR 03后备厢漏水 车身异响 大灯异响	质量问题	11/12/2024
奇瑞iCAR03购车支付定金经销商未退还	销售未兑现承诺	11/15/2024
奇瑞iCAR03车机设计不合理 雨刮器故障	质量问题	11/11/2024
奇瑞iCAR 03选配座椅恒温加热宣传不符	销售未兑现承诺	11/6/2024
奇瑞iCAR 03车辆异响 转向异响 要求处理	质量问题	11/6/2024
奇瑞iCAR 03前风挡玻璃行车记录仪处漏水	质量问题	11/4/2024
奇瑞iCAR 03车身漏水 希望厂家处理	质量问题	11/2/2024
奇瑞iCAR 03线路故障 左前轮眉灯不亮	质量问题	10/11/2024
奇瑞iCAR 03后视镜漏风 车机花屏	质量问题	10/25/2024
奇瑞iCAR 03车灯亮度不足 续航里程不准	质量问题	10/24/2024
奇瑞iCAR 03购车充电桩权益不兑现	销售未兑现承诺	10/24/2024
奇瑞iCAR 03车身大架切割不标准 未焊接完整	质量问题	10/22/2024
奇瑞iCAR 03动力电池故障 续航里程不足	质量问题	10/22/2024
奇瑞iCAR 03车机设计不合理 雨刮器故障	质量问题	10/21/2024
奇瑞iCAR 03开启空调后两侧风量不一致	质量问题	7/18/2024
奇瑞iCAR 03购车后第二天油门与刹车失灵	质量问题	9/26/2024
奇瑞新能源iCAR03经销商收取定金后不退还	销售未兑现承诺	1/16/2024
奇瑞iCAR 03智驾系统不能正常使用	质量问题	5/14/2024
奇瑞iCAR 03购车时置换补贴没有兑现	销售未兑现承诺	9/4/2024
奇瑞iCAR 03车身异响 天窗开关异常	质量问题	5/16/2024
奇瑞iCAR 03安全带异响 要求处理	质量问题	5/17/2024
奇瑞iCAR 03行驶中断电失速 极大安全隐患	质量问题	6/30/2024
奇瑞iCAR 03前仓电流噪音 要求处理	质量问题	6/26/2024
奇瑞iCAR 03充电桩安装飞线定义不合理	质量问题	5/8/2024
奇瑞iCAR 03制动系统失灵 售后否认质量问题	质量问题	8/7/2024
奇瑞iCAR 03车机流量异常消耗 售后不予解决	售后服务问题	8/13/2024
奇瑞iCAR 03经销商服务流程不完善	售后服务问题	3/28/2024
奇瑞iCAR 03随车充电桩安装一直无法兑现	销售未兑现承诺	4/10/2024
奇瑞iCAR 03车身多处异响 十分严重	质量问题	6/15/2024
奇瑞iCAR 03电池包进水 新车有维修痕迹	质量问题	6/23/2024
奇瑞iCAR 03车门铰链引擎盖卡扣生锈 车身异响	质量问题	6/23/2024
奇瑞iCAR 03后备箱漏水 要求赔偿损失	质量问题	6/20/2024
奇瑞iCAR 03电机传感器故障导致高速失速	质量问题	4/22/2024
奇瑞iCAR03车身异响 天窗开关异常	质量问题	5/26/2024
奇瑞iCAR03动力电池包进水无法行驶	质量问题	7/20/2024
奇瑞iCAR 03安全带异响 要求处理	质量问题	4/20/2024
奇瑞iCAR 03动力电池包进水无法行驶	质量问题	7/10/2024
奇瑞iCAR 03经销商收多钱 不退款	销售未兑现承诺	8/22/2024
奇瑞iCAR 03空调管设计存在缺陷 车辆泡水	质量问题	8/16/2024
奇瑞iCAR 03电机过热报警 动力输出受限	质量问题	8/18/2024
奇瑞iCAR 03新车漆面有二次补漆的痕迹	质量问题	8/7/2024
奇瑞iCAR 03水泵异响 希望厂家处理	质量问题	9/14/2024
奇瑞iCAR 03厂家补贴给用户金额不一样	销售未兑现承诺	9/22/2024
奇瑞iCAR 03新车顶部车漆爆漆 开裂	质量问题	8/28/2024
奇瑞iCAR 03使用厂家补胎液时发生爆炸	质量问题	9/8/2024
奇瑞iCAR 03液晶仪表黑屏 无法显示数值	质量问题	9/20/2024
奇瑞iCAR 03雨刮器异响刮不干净 导航漂移	质量问题	9/28/2024
奇瑞iCAR 03车身A柱掉漆 希望厂家处理	质量问题	9/28/2024